ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,corrRound,statusFH
Albania,3.0,9.0,33.0,49.45,0.0,0.0,0.0,0.0,1.0,0.0,-0.58,-0.58,PartlyFree
Armenia,5.0,5.0,30.2,51.88,0.0,0.0,0.0,0.0,0.0,0.0,-0.58,-0.58,PartlyFree
Bangladesh,3.5,5.0,31.0,48.58,0.0,0.0,0.0,0.0,0.0,0.0,-1.22,-1.22,PartlyFree
Bolivia,3.0,7.0,57.2,50.48,0.0,1.0,0.0,0.0,0.0,0.0,-0.59,-0.59,PartlyFree
Bosnia and Herzegovina,3.5,0.0,36.3,51.14,0.0,0.0,0.0,0.0,1.0,0.0,-0.29,-0.29,PartlyFree
Burkina Faso,4.0,0.0,39.6,50.19,0.0,0.0,0.0,0.0,0.0,1.0,-0.33,-0.33,PartlyFree
Burundi,4.5,6.0,33.3,51.62,0.0,0.0,0.0,0.0,0.0,1.0,-1.1,-1.1,PartlyFree
Central African Republic,5.0,-1.0,43.6,50.89,0.0,0.0,0.0,0.0,0.0,1.0,-0.99,-0.99,PartlyFree
Colombia,3.5,7.0,58.5,50.38,0.0,1.0,0.0,0.0,0.0,0.0,-0.19,-0.19,PartlyFree
Comoros,3.5,9.0,64.3,49.99,0.0,0.0,0.0,0.0,0.0,1.0,-0.71,-0.71,PartlyFree
Djibouti,5.0,2.0,39.9,50.23,0.0,0.0,0.0,0.0,0.0,1.0,-0.44,-0.44,PartlyFree
Ecuador,3.0,5.0,54.4,49.8,0.0,1.0,0.0,0.0,0.0,0.0,-0.87,-0.87,PartlyFree
Ethiopia,5.0,1.0,29.8,50.37,0.0,0.0,0.0,0.0,0.0,1.0,-0.68,-0.68,PartlyFree
"Gambia, The",5.0,-5.0,47.3,50.67,0.0,0.0,0.0,0.0,0.0,1.0,-0.69,-0.69,PartlyFree
Georgia,4.0,6.0,40.8,52.87,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,PartlyFree
Guatemala,4.0,8.0,53.7,49.92,0.0,1.0,0.0,0.0,0.0,0.0,-0.68,-0.68,PartlyFree
Guinea-Bissau,4.0,6.0,35.5,50.57,0.0,0.0,0.0,0.0,0.0,1.0,-1.1,-1.1,PartlyFree
Haiti,4.5,5.0,59.5,50.71,0.0,1.0,0.0,0.0,0.0,0.0,-1.34,-1.34,PartlyFree
Honduras,4.0,7.0,55.3,49.87,0.0,1.0,0.0,0.0,0.0,0.0,-0.79,-0.79,PartlyFree
Kenya,4.0,7.0,47.7,50.13,0.0,0.0,0.0,0.0,0.0,1.0,-0.99,-0.99,PartlyFree
Lesotho,3.0,8.0,52.5,53.56,0.0,0.0,0.0,0.0,0.0,1.0,-0.03,-0.03,PartlyFree
Liberia,3.5,6.0,52.6,50.63,0.0,0.0,0.0,0.0,0.0,1.0,-0.72,-0.72,PartlyFree
"Macedonia, FYR",3.0,9.0,42.8,49.65,0.0,0.0,0.0,0.0,1.0,0.0,-0.22,-0.22,PartlyFree
Madagascar,5.0,0.0,47.2,49.72,0.0,0.0,0.0,0.0,0.0,1.0,-0.14,-0.14,PartlyFree
Malawi,3.5,6.0,39.0,51.22,0.0,0.0,0.0,0.0,0.0,1.0,-0.63,-0.63,PartlyFree
Malaysia,4.0,6.0,37.9,49.38,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,PartlyFree
Moldova,3.5,8.0,37.4,52.69,0.0,0.0,0.0,0.0,0.0,0.0,-0.65,-0.65,PartlyFree
Morocco,4.5,-6.0,40.9,50.21,1.0,0.0,0.0,0.0,0.0,0.0,-0.26,-0.26,PartlyFree
Mozambique,3.5,5.0,47.1,51.49,0.0,0.0,0.0,0.0,0.0,1.0,-0.52,-0.52,PartlyFree
Nepal,4.0,6.0,47.3,49.16,0.0,0.0,0.0,0.0,0.0,0.0,-0.76,-0.76,PartlyFree
Nicaragua,4.0,9.0,52.3,50.09,0.0,1.0,0.0,0.0,0.0,0.0,-0.75,-0.75,PartlyFree
Niger,4.5,-3.0,43.9,50.5,0.0,0.0,0.0,0.0,0.0,1.0,-0.79,-0.79,PartlyFree
Nigeria,4.5,4.0,42.9,50.34,0.0,0.0,0.0,0.0,0.0,1.0,-1.06,-1.06,PartlyFree
Pakistan,4.5,5.0,31.2,47.48,0.0,0.0,0.0,0.0,0.0,0.0,-0.88,-0.88,PartlyFree
Papua New Guinea,3.5,4.0,50.9,48.42,0.0,0.0,0.0,0.0,0.0,0.0,-1.32,-1.32,PartlyFree
Paraguay,3.0,8.0,53.2,49.74,0.0,1.0,0.0,0.0,0.0,0.0,-1.19,-1.19,PartlyFree
Philippines,3.5,8.0,44.0,49.63,0.0,0.0,0.0,1.0,0.0,0.0,-0.66,-0.66,PartlyFree
Senegal,3.0,7.0,39.2,49.73,0.0,0.0,0.0,0.0,0.0,1.0,-0.37,-0.37,PartlyFree
Sierra Leone,3.0,7.0,42.5,51.38,0.0,0.0,0.0,0.0,0.0,1.0,-1.07,-1.07,PartlyFree
Singapore,4.5,-2.0,42.5,49.12,0.0,0.0,0.0,1.0,0.0,0.0,2.2,2.2,PartlyFree
Sri Lanka,4.0,6.0,41.1,49.24,0.0,0.0,0.0,0.0,0.0,0.0,-0.19,-0.19,PartlyFree
Tanzania,3.5,-1.0,34.6,50.59,0.0,0.0,0.0,0.0,0.0,1.0,-0.44,-0.44,PartlyFree
Thailand,4.5,4.0,42.5,50.25,0.0,0.0,0.0,1.0,0.0,0.0,-0.23,-0.23,PartlyFree
Togo,4.5,-4.0,34.4,50.66,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,PartlyFree
Turkey,3.0,7.0,41.2,49.39,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,PartlyFree
Uganda,4.5,-1.0,42.6,50.2,0.0,0.0,0.0,0.0,0.0,1.0,-0.82,-0.82,PartlyFree
"Venezuela, RB",4.5,-3.0,43.4,49.48,0.0,1.0,0.0,0.0,0.0,0.0,-1.06,-1.06,PartlyFree
Zambia,3.5,7.0,50.7,50.28,0.0,0.0,0.0,0.0,0.0,1.0,-0.6,-0.6,PartlyFree
Mean,3.3,3.6,40.8,50.13,19.0,20.0,18.0,17.0,14.0,48.0,-0.02,-0.02,PartlyFree
Mean of 19 MENA countries,5.2,-3.3,38.4,46.81,1.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,PartlyFree
Mean of 20 LATI countries,2.9,6.7,52.2,50.08,0.0,1.0,0.0,0.0,0.0,0.0,-0.33,-0.33,PartlyFree
Median of 20 LATI countries,2.8,8.0,52.3,50.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.37,-0.37,PartlyFree
