ctry;fh09;polity09;gini;fparl08;mena;lati;cari;east;sovi;afri;corr0509
Afghanistan;6,0;0,0;;48,14;0;0;0;0;0;0;-1,55
Albania;3,0;9,0;33,0;49,45;0;0;0;0;1;0;-0,58
Algeria;5,5;2,0;35,3;49,89;1;0;0;0;0;0;-0,43
American Samoa;;;;;0;0;0;0;0;0;0,44
Andorra;1,0;;;;0;0;0;0;0;0;1,31
Angola;5,5;-2,0;58,6;50,82;0;0;0;0;0;0;-1,29
Antigua and Barbuda;2,5;;;;0;0;1;0;0;0;1,21
Argentina;2,0;8,0;48,8;50,52;0;1;0;0;0;0;-0,42
Armenia;5,0;5,0;30,2;51,88;0;0;0;0;0;0;-0,58
Aruba;;;;51,21;0;0;1;0;0;0;1,26
Australia;1,0;10,0;35,2;50,01;0;0;0;0;0;0;1,98
Austria;1,0;10,0;29,1;52,36;0;0;0;0;0;0;1,90
Azerbaijan;5,5;-7,0;16,8;51,35;0;0;0;0;0;0;-1,03
Bahamas, The;1,0;;;50,76;0;0;1;0;0;0;1,36
Bahrain;5,5;-7,0;;43,77;1;0;0;0;0;0;0,37
Bangladesh;3,5;5,0;31,0;48,58;0;0;0;0;0;0;-1,22
Barbados;1,0;;;52,43;0;0;1;0;0;0;1,31
Belarus;6,5;-7,0;28,8;53,62;0;0;0;0;0;0;-0,77
Belgium;1,0;8,0;33,0;51,09;0;0;0;0;0;0;1,33
Belize;1,5;;59,6;49,76;0;0;1;0;0;0;-0,27
Benin;2,0;7,0;38,6;51,21;0;0;0;0;0;1;-0,61
Bermuda;;;;;0;0;1;0;0;0;1,31
Bhutan;4,5;3,0;;48,62;0;0;0;0;0;0;0,75
Bolivia;3,0;7,0;57,2;50,48;0;1;0;0;0;0;-0,59
Bosnia and Herzegovina;3,5;0,0;36,3;51,14;0;0;0;0;1;0;-0,29
Botswana;2,5;8,0;61,0;51,17;0;0;0;0;0;1;0,95
Brazil;2,0;8,0;55,0;50,30;0;1;0;0;0;0;-0,12
Brunei Darussalam;5,5;;;47,82;0;0;0;1;0;0;0,44
Bulgaria;2,0;9,0;29,2;50,58;0;0;0;0;1;0;-0,07
Burkina Faso;4,0;0,0;39,6;50,19;0;0;0;0;0;1;-0,33
Burundi;4,5;6,0;33,3;51,62;0;0;0;0;0;1;-1,10
Cambodia;5,5;2,0;44,2;51,40;0;0;0;1;0;0;-1,15
Cameroon;6,0;-4,0;44,6;50,41;0;0;0;0;0;1;-1,00
Canada;1,0;10,0;32,6;50,17;0;0;0;0;0;0;1,94
Cape Verde;1,0;;50,4;53,01;0;0;0;0;0;1;0,62
Cayman Islands;;;;;0;0;1;0;0;0;1,16
Central African Republic;5,0;-1,0;43,6;50,89;0;0;0;0;0;1;-0,99
Chad;6,5;-2,0;39,8;50,65;0;0;0;0;0;1;-1,35
Channel Islands;;;;51,53;0;0;0;0;0;0;
Chile;1,0;10,0;52,0;50,61;0;1;0;0;0;0;1,37
China;6,5;-7,0;41,5;48,46;0;0;0;1;0;0;-0,57
Colombia;3,5;7,0;58,5;50,38;0;1;0;0;0;0;-0,19
Comoros;3,5;9,0;64,3;49,99;0;0;0;0;0;1;-0,71
Congo, Dem. Rep.;6,0;5,0;44,4;51,08;0;0;0;0;0;1;-1,43
Congo, Rep.;5,5;-4,0;47,3;50,31;0;0;0;0;0;1;-1,11
Costa Rica;1,0;10,0;48,9;49,16;0;1;0;0;0;0;0,48
Cote d'Ivoire;5,5;0,0;48,4;48,39;0;0;0;0;0;1;-1,20
Croatia;1,5;9,0;29,0;51,78;0;0;0;0;1;0;0,12
Cuba;6,5;-7,0;;49,52;0;1;0;0;0;0;0,13
Cyprus;1,0;10,0;;50,55;0;0;0;0;0;0;1,04
Czech Republic;1,0;8,0;25,8;51,44;0;0;0;0;1;0;0,42
Denmark;1,0;10,0;24,7;50,56;0;0;0;0;0;0;2,38
Djibouti;5,0;2,0;39,9;50,23;0;0;0;0;0;1;-0,44
Dominica;1,0;;;;0;0;1;0;0;0;0,71
Dominican Republic;2,0;8,0;48,4;49,43;0;1;0;0;0;0;-0,62
Ecuador;3,0;5,0;54,4;49,80;0;1;0;0;0;0;-0,87
Egypt, Arab Rep.;5,5;-3,0;32,1;49,79;1;0;0;0;0;0;-0,58
El Salvador;2,5;8,0;46,9;51,21;0;1;0;0;0;0;-0,29
Equatorial Guinea;7,0;-5,0;;50,88;0;0;0;0;0;1;-1,61
Eritrea;7,0;-7,0;;50,74;0;0;0;0;0;1;-0,25
Estonia;1,0;9,0;36,0;54,07;0;0;0;0;0;0;0,98
Ethiopia;5,0;1,0;29,8;50,37;0;0;0;0;0;1;-0,68
Faeroe Islands;;;;;0;0;0;0;0;0;
Fiji;5,0;-4,0;;49,19;0;0;0;0;0;0;-0,50
Finland;1,0;10,0;26,9;51,48;0;0;0;0;0;0;2,34
France;1,0;9,0;32,7;51,32;0;0;0;0;0;0;1,42
French Polynesia;;;;48,27;0;0;0;0;0;0;
Gabon;5,5;3,0;41,5;50,70;0;0;0;0;0;1;-0,86
Gambia, The;5,0;-5,0;47,3;50,67;0;0;0;0;0;1;-0,69
Georgia;4,0;6,0;40,8;52,87;0;0;0;0;0;0;-0,20
Germany;1,0;10,0;28,3;52,08;0;0;0;0;0;0;1,75
Ghana;1,5;8,0;42,8;49,45;0;0;0;0;0;1;-0,03
Gibraltar;;;;;0;0;0;0;0;0;
Greece;1,5;10,0;34,3;50,86;0;0;0;0;0;0;0,30
Greenland;;;;;0;0;0;0;0;0;1,16
Grenada;1,5;;;51,48;0;0;1;0;0;0;0,49
Guam;;;;46,60;0;0;0;0;0;0;0,83
Guatemala;4,0;8,0;53,7;49,92;0;1;0;0;0;0;-0,68
Guinea;6,5;-1,0;43,3;49,77;0;0;0;0;0;1;-1,17
Guinea-Bissau;4,0;6,0;35,5;50,57;0;0;0;0;0;1;-1,10
Guyana;2,5;6,0;43,2;50,56;0;0;1;0;0;0;-0,58
Haiti;4,5;5,0;59,5;50,71;0;1;0;0;0;0;-1,34
Honduras;4,0;7,0;55,3;49,87;0;1;0;0;0;0;-0,79
Hong Kong SAR, China;;;43,4;49,68;0;0;0;1;0;0;1,87
Hungary;1,0;10,0;30,0;51,92;0;0;0;0;1;0;0,58
Iceland;1,0;;;49,62;0;0;0;0;0;0;2,21
India;2,5;9,0;36,8;48,02;0;0;0;0;0;0;-0,34
Indonesia;2,5;8,0;37,6;49,97;0;0;0;1;0;0;-0,70
Iran, Islamic Rep.;6,0;-7,0;38,3;48,94;1;0;0;0;0;0;-0,60
Iraq;5,5;0,0;38,3;49,36;1;0;0;0;0;0;-1,46
Ireland;1,0;10,0;34,3;49,95;0;0;0;0;0;0;1,69
Isle of Man;;;;;0;0;0;0;0;0;
Israel;1,5;10,0;39,2;50,08;1;0;0;0;0;0;0,89
Italy;1,5;10,0;36,0;51,51;0;0;0;0;0;0;0,24
Jamaica;2,5;9,0;45,5;51,07;0;0;1;0;0;0;-0,41
Japan;1,5;10,0;24,9;50,95;0;0;0;0;0;0;1,29
Jordan;5,5;-3,0;37,7;48,27;1;0;0;0;0;0;0,35
Kazakhstan;5,5;-6,0;30,9;51,86;0;0;0;0;0;0;-0,94
Kenya;4,0;7,0;47,7;50,13;0;0;0;0;0;1;-0,99
Kiribati;1,0;;;;0;0;0;0;0;0;0,09
Korea, Dem. Rep.;7,0;-9,0;;51,38;0;0;0;1;0;0;-1,56
Korea, Rep.;1,5;8,0;31,6;49,99;0;0;0;1;0;0;0,53
Kosovo;4,5;;;;0;0;0;0;1;0;-0,64
Kuwait;4,0;-7,0;;41,40;1;0;0;0;0;0;0,63
Kyrgyz Republic;5,5;1,0;33,5;51,42;0;0;0;0;0;0;-1,17
Lao PDR;6,5;-7,0;32,6;50,30;0;0;0;1;0;0;-1,21
Latvia;1,5;8,0;36,3;54,16;0;0;0;0;0;0;0,34
Lebanon;4,0;7,0;;50,45;1;0;0;0;0;0;-0,80
Lesotho;3,0;8,0;52,5;53,56;0;0;0;0;0;1;-0,03
Liberia;3,5;6,0;52,6;50,63;0;0;0;0;0;1;-0,72
Libya;7,0;-7,0;;47,55;1;0;0;0;0;0;-0,90
Liechtenstein;1,0;;;;0;0;0;0;0;0;1,30
Lithuania;1,0;10,0;35,8;53,11;0;0;0;0;0;0;0,20
Luxembourg;1,0;;;50,85;0;0;0;0;0;0;1,89
Macao SAR, China;;;;50,50;0;0;0;1;0;0;0,34
Macedonia, FYR;3,0;9,0;42,8;49,65;0;0;0;0;1;0;-0,22
Madagascar;5,0;0,0;47,2;49,72;0;0;0;0;0;1;-0,14
Malawi;3,5;6,0;39,0;51,22;0;0;0;0;0;1;-0,63
Malaysia;4,0;6,0;37,9;49,38;0;0;0;1;0;0;0,25
Maldives;3,5;;37,4;48,12;0;0;0;0;0;0;-0,63
Mali;2,5;7,0;39,0;50,03;0;0;0;0;0;1;-0,47
Malta;1,0;;;51,03;0;0;0;0;0;0;0,97
Marshall Islands;1,0;;;;0;0;0;0;0;0;-0,49
Mauritania;5,5;-2,0;39,0;49,77;0;0;0;0;0;1;-0,54
Mauritius;1,5;10,0;;50,28;0;0;0;0;0;1;0,53
Mayotte;;;;48,43;0;0;0;0;0;1;
Mexico;2,5;8,0;51,6;50,33;0;1;0;0;0;0;-0,25
Micronesia, Fed. Sts.;1,0;;;48,80;0;0;0;0;0;0;-0,31
Moldova;3,5;8,0;37,4;52,69;0;0;0;0;0;0;-0,65
Monaco;1,5;;;;0;0;0;0;0;0;
Mongolia;2,0;10,0;36,6;50,18;0;0;0;1;0;0;-0,62
Montenegro;2,5;;36,9;50,55;0;0;0;0;1;0;-0,33
Morocco;4,5;-6,0;40,9;50,21;1;0;0;0;0;0;-0,26
Mozambique;3,5;5,0;47,1;51,49;0;0;0;0;0;1;-0,52
